Workflow Count: 30 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	workflowNum	Name	totalCost	               totalRU	totalSR	   DD	  ST
1	100.0	RMWS	14048.78300	0.80816	0.82000	-0.17389	0.39586
2	100.0	ROSA	58481.60000	0.74395	0.80000	-0.02732	0.40198
2	100.0	NOSF	23348.64040	0.85771	0.54000	0.00525	0.19486
2	100.0	RMWS	24963.92580	0.85458	0.73000	-0.12028	0.51458
3	100.0	ROSA	54028.40000	0.78554	0.70000	-0.03644	0.33988
3	100.0	NOSF	22510.57140	0.87384	0.60000	-0.04417	0.21615
3	100.0	RMWS	21214.22340	0.86720	0.66000	-0.06793	0.51693
4	100.0	ROSA	44254.00000	0.74655	0.75000	-0.03104	0.28969
4	100.0	NOSF	12657.16220	0.84269	0.64000	-0.01424	0.22297
4	100.0	RMWS	13586.27180	0.84454	0.79000	-0.12280	0.52634
5	100.0	ROSA	54233.60000	0.61684	0.69000	-0.01011	0.40685
5	100.0	NOSF	21826.66640	0.81070	0.63000	-0.01945	0.22528
5	100.0	RMWS	17005.66000	0.82078	0.74000	-0.12566	0.53952
6	100.0	ROSA	40589.20000	0.72237	0.78000	-0.04041	0.24791
6	100.0	NOSF	20129.35900	0.81331	0.62000	-0.02692	0.14931
6	100.0	RMWS	14877.26240	0.85436	0.83000	-0.15892	0.36825
7	100.0	ROSA	43974.40000	0.43861	0.67000	-0.01065	0.44725
7	100.0	NOSF	17712.96720	0.66612	0.64000	-0.00560	0.26387
7	100.0	RMWS	13074.67040	0.65812	0.73000	-0.17226	0.50631
8	100.0	ROSA	40117.60000	0.68010	0.78000	-0.03134	0.27004
8	100.0	NOSF	26073.86180	0.71670	0.63000	-0.02650	0.24106
8	100.0	RMWS	13579.92280	0.82079	0.83000	-0.15697	0.47198
9	100.0	ROSA	46420.00000	0.75591	0.75000	-0.03543	0.32352
9	100.0	NOSF	21845.64800	0.83922	0.59000	-0.02598	0.24365
9	100.0	RMWS	17466.25820	0.83584	0.74000	-0.09599	0.39061
Average:	100.0	ROSA	49244.72000	0.66845	0.74300	-0.02779	0.35542
Average:	100.0	NOSF	20826.02626	0.80399	0.59700	-0.01678	0.21145
Average:	100.0	RMWS	16625.30628	0.82117	0.76400	-0.13125	0.46175
0	200.0	ROSA	88067.20000	0.77716	0.72000	-0.00489	0.88443
0	200.0	NOSF	67662.86180	0.78553	0.62500	-0.03257	0.57013
0	200.0	RMWS	52226.55680	0.83740	0.75000	-0.16887	0.98748
1	200.0	ROSA	89039.20000	0.66975	0.75000	-0.02302	0.82894
1	200.0	NOSF	36266.22660	0.81158	0.65500	-0.01251	0.46290
1	200.0	RMWS	35312.61540	0.84347	0.84500	-0.23072	0.84389
2	200.0	ROSA	102806.40000	0.77676	0.76500	-0.02126	0.91866
2	200.0	NOSF	64450.50560	0.82641	0.62000	-0.02170	0.51879
2	200.0	RMWS	54667.82560	0.86637	0.81000	-0.19992	1.17791
3	200.0	ROSA	109242.40000	0.80538	0.68500	-0.00365	1.08373
3	200.0	NOSF	55843.78780	0.85842	0.60000	-0.00286	0.59517
3	200.0	RMWS	52120.15800	0.88166	0.74500	-0.09584	1.14672
4	200.0	ROSA	96672.00000	0.77629	0.74500	-0.02421	0.99000
4	200.0	NOSF	55098.57200	0.82145	0.60000	-0.01370	0.56149
4	200.0	RMWS	49221.11140	0.86458	0.79000	-0.16051	1.10739
5	200.0	ROSA	91419.60000	0.72747	0.72000	-0.01537	1.22770
5	200.0	NOSF	55404.29100	0.77011	0.59000	0.00110	0.79588
5	200.0	RMWS	46845.77820	0.80918	0.75000	-0.16604	1.29416
6	200.0	ROSA	107136.80000	0.71635	0.78000	-0.00409	0.99983
6	200.0	NOSF	56144.78960	0.83136	0.56000	-0.01147	0.56883
6	200.0	RMWS	48110.73540	0.85621	0.79500	-0.19300	1.14322
7	200.0	ROSA	70328.00000	0.74144	0.75500	-0.02228	0.72162
7	200.0	NOSF	45142.29480	0.78675	0.62000	-0.00643	0.44216
7	200.0	RMWS	33364.05220	0.85562	0.81000	-0.21563	0.87774
8	200.0	ROSA	112088.40000	0.64703	0.67000	-0.00017	1.12650
