Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 1.0
Repeat	gama	Name	totalCost	               totalRU	totalSR	   DD	  ST
2	3.0	ROSA	65747.20000	0.48151	0.67000	0.04909	0.63447
2	3.0	NOSF	33869.21040	0.72352	0.43000	0.07435	0.22577
2	3.0	RMWS	22868.56800	0.77871	0.70000	-0.08877	0.57382
3	3.0	ROSA	60337.20000	0.75201	0.75000	0.01432	0.46313
3	3.0	NOSF	44206.96520	0.80364	0.46000	0.04338	0.31877
3	3.0	RMWS	27342.89380	0.85185	0.76000	-0.07988	0.69972
4	3.0	ROSA	49723.20000	0.70938	0.75000	0.01107	0.39955
4	3.0	NOSF	36435.72600	0.77642	0.49000	0.03146	0.24080
4	3.0	RMWS	22378.39500	0.83494	0.73000	-0.09073	0.51422
5	3.0	ROSA	41940.80000	0.48587	0.70000	0.00647	0.41622
5	3.0	NOSF	26111.84840	0.59287	0.53000	0.03360	0.29515
5	3.0	RMWS	17312.33480	0.63292	0.83000	-0.13148	0.47827
6	3.0	ROSA	66157.60000	0.40164	0.61000	0.06921	0.83842
6	3.0	NOSF	26285.26520	0.70212	0.39000	0.09612	0.31714
6	3.0	RMWS	24436.88740	0.66573	0.68000	-0.07090	0.58243
7	3.0	ROSA	70472.40000	0.65732	0.75000	0.00551	0.62551
7	3.0	NOSF	48751.11400	0.78629	0.51000	0.05082	0.31127
7	3.0	RMWS	32464.29660	0.84799	0.69000	-0.08017	0.59808
8	3.0	ROSA	59903.60000	0.57318	0.67000	0.01478	0.73785
8	3.0	NOSF	33620.23180	0.75822	0.40000	0.09362	0.29866
8	3.0	RMWS	27104.55880	0.77452	0.69000	-0.11649	0.47928
9	3.0	ROSA	54686.40000	0.62600	0.65000	0.02562	0.56801
9	3.0	NOSF	33631.76200	0.77698	0.49000	0.04097	0.27226
9	3.0	RMWS	28101.97200	0.78491	0.70000	-0.07165	0.61595
Average:	3.0	ROSA	56744.28000	0.59986	0.69700	0.02368	0.55911
Average:	3.0	NOSF	34447.08900	0.74442	0.47000	0.05303	0.28052
Average:	3.0	RMWS	24805.41634	0.77472	0.71600	-0.08680	0.57086
0	4.0	ROSA	39268.80000	0.70542	0.72000	-0.05153	0.27343
0	4.0	NOSF	17544.95180	0.80615	0.53000	0.00638	0.17148
0	4.0	RMWS	16150.64380	0.80766	0.81000	-0.15108	0.30162
1	4.0	ROSA	61703.60000	0.75546	0.81000	-0.03775	0.50081
1	4.0	NOSF	32214.91320	0.83171	0.61000	-0.01231	0.27236
1	4.0	RMWS	25223.00720	0.85385	0.76000	-0.10260	0.60506
2	4.0	ROSA	54038.40000	0.52021	0.66000	0.02849	0.53276
2	4.0	NOSF	30190.28440	0.68580	0.60000	-0.02293	0.29455
2	4.0	RMWS	18362.37560	0.72925	0.67000	-0.12409	0.58752
3	4.0	ROSA	61814.40000	0.66940	0.74000	-0.02976	0.46418
3	4.0	NOSF	22913.88060	0.86940	0.59000	-0.02887	0.16194
3	4.0	RMWS	17567.30140	0.90386	0.79000	-0.11383	0.40881
4	4.0	ROSA	56140.40000	0.69766	0.65000	0.00573	0.48642
4	4.0	NOSF	31034.15020	0.80378	0.61000	-0.01477	0.24398
4	4.0	RMWS	23347.49980	0.82045	0.69000	-0.09987	0.61191
5	4.0	ROSA	58448.00000	0.77346	0.73000	-0.04894	0.41087
5	4.0	NOSF	27037.28600	0.84774	0.63000	-0.04199	0.26027
5	4.0	RMWS	25020.84080	0.86464	0.80000	-0.10145	0.58615
6	4.0	ROSA	46588.00000	0.66259	0.71000	-0.01778	0.41280
6	4.0	NOSF	23530.03980	0.77451	0.61000	-0.03586	0.26196
