Workflow Count: 100 alft_Task execution time : 0.1 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	alft	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	0.2	ROSA	44811.60000	0.69544	0.80000	-0.04492	0.32947
0	0.2	NOSF	23186.92620	0.79868	0.61000	-0.01839	0.19092
0	0.2	RMWS	15703.02280	0.84499	0.83000	-0.14006	0.36232
1	0.2	ROSA	56091.60000	0.72001	0.76000	-0.03952	0.37662
1	0.2	NOSF	25091.42940	0.84129	0.59000	-0.00711	0.21190
1	0.2	RMWS	20887.01280	0.85784	0.74000	-0.09931	0.50923
2	0.2	ROSA	51812.00000	0.78048	0.78000	-0.02571	0.37960
2	0.2	NOSF	30923.43900	0.79774	0.69000	-0.02506	0.29885
2	0.2	RMWS	17387.26140	0.85731	0.84000	-0.17016	0.64617
3	0.2	ROSA	46489.60000	0.72307	0.70000	-0.01861	0.35897
3	0.2	NOSF	27479.52480	0.79013	0.63000	-0.02608	0.25063
3	0.2	RMWS	20303.68720	0.81727	0.80000	-0.14456	0.50303
4	0.2	ROSA	43481.60000	0.77688	0.68000	-0.02533	0.36881
4	0.2	NOSF	23933.86960	0.79135	0.59000	-0.01213	0.31126
4	0.2	RMWS	16153.22880	0.80382	0.80000	-0.15474	0.65113
5	0.2	ROSA	67958.40000	0.80941	0.71000	-0.03014	0.46895
5	0.2	NOSF	50365.30140	0.83208	0.57000	-0.02518	0.28430
5	0.2	RMWS	27617.74020	0.87683	0.76000	-0.10164	0.64657
6	0.2	ROSA	32982.40000	0.70510	0.73000	-0.03596	0.23798
6	0.2	NOSF	19573.49340	0.76677	0.68000	-0.00833	0.15212
6	0.2	RMWS	11793.24520	0.80440	0.84000	-0.20037	0.42274
7	0.2	ROSA	43786.80000	0.76612	0.81000	-0.03188	0.25539
7	0.2	NOSF	17291.09660	0.85508	0.51000	0.02062	0.15475
7	0.2	RMWS	17871.54040	0.86543	0.78000	-0.11676	0.41756
8	0.2	ROSA	40112.00000	0.62658	0.76000	-0.04570	0.25222
8	0.2	NOSF	17085.85160	0.82069	0.57000	-0.01514	0.12625
8	0.2	RMWS	17508.68780	0.82326	0.77000	-0.14177	0.31864
9	0.2	ROSA	45648.80000	0.54331	0.76000	-0.01478	0.51888
9	0.2	NOSF	26115.35800	0.68990	0.61000	-0.02375	0.25550
9	0.2	RMWS	14289.99660	0.74785	0.73000	-0.15979	0.58927
Average:	0.2	ROSA	47317.48000	0.71464	0.74900	-0.03125	0.35469
Average:	0.2	NOSF	26104.62900	0.79837	0.60500	-0.01405	0.22365
Average:	0.2	RMWS	17951.54232	0.82990	0.78900	-0.14292	0.50667
0	0.25	ROSA	45431.60000	0.66386	0.67000	-0.04463	0.41510
0	0.25	NOSF	17225.28160	0.82874	0.55000	-0.02112	0.21315
0	0.25	RMWS	14880.31780	0.81559	0.70000	-0.10801	0.49682
1	0.25	ROSA	60329.60000	0.78304	0.72000	0.00393	0.35937
1	0.25	NOSF	36734.64320	0.83952	0.63000	-0.01414	0.21327
1	0.25	RMWS	25974.67060	0.88649	0.75000	-0.09849	0.51563
2	0.25	ROSA	41562.40000	0.66546	0.71000	-0.00679	0.34988
2	0.25	NOSF	28281.28240	0.73402	0.54000	-0.01012	0.19922
2	0.25	RMWS	16924.52660	0.78520	0.74000	-0.13629	0.48755
3	0.25	ROSA	41702.80000	0.81321	0.74000	-0.02637	0.22145
3	0.25	NOSF	23189.81180	0.82902	0.52000	0.01102	0.15038
3	0.25	RMWS	16566.94640	0.87161	0.83000	-0.14497	0.44634
4	0.25	ROSA	43893.20000	0.78265	0.70000	-0.00521	0.28896
4	0.25	NOSF	22836.36100	0.81362	0.58000	-0.02404	0.22981
4	0.25	RMWS	20498.80600	0.82124	0.70000	-0.09541	0.51779
5	0.25	ROSA	52172.80000	0.66637	0.73000	-0.02259	0.41428
5	0.25	NOSF	29445.95820	0.77979	0.61000	0.00122	0.21459
5	0.25	RMWS	20858.91560	0.84180	0.75000	-0.12486	0.53672
6	0.25	ROSA	61538.00000	0.64312	0.72000	-0.01859	0.65140
6	0.25	NOSF	37106.37720	0.75943	0.58000	-0.02655	0.35556
6	0.25	RMWS	25777.88460	0.75736	0.65000	-0.09369	0.75410
7	0.25	ROSA	53165.20000	0.60874	0.66000	-0.00407	0.49437
7	0.25	NOSF	21536.74000	0.80027	0.64000	-0.03081	0.19895
7	0.25	RMWS	16583.19680	0.81739	0.81000	-0.14842	0.44013
8	0.25	ROSA	78335.20000	0.66211	0.71000	-0.03498	0.63358
8	0.25	NOSF	35811.62920	0.83736	0.59000	-0.00969	0.31685
8	0.25	RMWS	26821.82500	0.86962	0.67000	-0.07521	0.67296
9	0.25	ROSA	53941.20000	0.66547	0.65000	0.00989	0.50840
9	0.25	NOSF	22189.01080	0.81558	0.60000	-0.03853	0.26850
9	0.25	RMWS	17994.29880	0.80897	0.73000	-0.07741	0.60225
Average:	0.25	ROSA	53207.20000	0.69540	0.70100	-0.01494	0.43368
Average:	0.25	NOSF	27435.70954	0.80373	0.58400	-0.01628	0.23603
Average:	0.25	RMWS	20288.13882	0.82753	0.73300	-0.11028	0.54703
0	0.3	ROSA	39832.80000	0.53805	0.74000	-0.02157	0.38911
0	0.3	NOSF	23157.54880	0.65493	0.51000	0.00492	0.32025
0	0.3	RMWS	15770.55700	0.66623	0.72000	-0.17126	0.65652
1	0.3	ROSA	55148.80000	0.45715	0.54000	0.02495	0.64481
1	0.3	NOSF	30845.36640	0.61116	0.47000	0.01289	0.42902
1	0.3	RMWS	17726.98180	0.64738	0.68000	-0.12432	0.85740
2	0.3	ROSA	53325.60000	0.83010	0.78000	-0.02346	0.33402
2	0.3	NOSF	36429.57720	0.83180	0.52000	-0.00020	0.23500
2	0.3	RMWS	25278.20280	0.86393	0.68000	-0.09595	0.44417
3	0.3	ROSA	44073.60000	0.56593	0.70000	-0.00967	0.34360
3	0.3	NOSF	14375.85820	0.77332	0.55000	0.00758	0.19867
3	0.3	RMWS	14539.45920	0.76986	0.81000	-0.14908	0.34766
4	0.3	ROSA	40090.40000	0.71097	0.70000	-0.01853	0.33300
4	0.3	NOSF	26739.82800	0.73291	0.61000	-0.01861	0.29806
4	0.3	RMWS	22872.22260	0.71417	0.75000	-0.14002	0.65364
5	0.3	ROSA	46187.60000	0.69299	0.62000	-0.00283	0.48648
5	0.3	NOSF	26299.56000	0.76326	0.56000	-0.01991	0.32370
5	0.3	RMWS	15313.25620	0.78904	0.67000	-0.09964	0.60674
6	0.3	ROSA	49780.00000	0.74151	0.80000	-0.05065	0.32793
6	0.3	NOSF	27170.00240	0.79502	0.53000	0.02046	0.23951
6	0.3	RMWS	19546.60560	0.81092	0.71000	-0.11956	0.57102
7	0.3	ROSA	59367.20000	0.63556	0.72000	-0.05833	0.55379
7	0.3	NOSF	29904.75580	0.77588	0.46000	0.02358	0.30445
7	0.3	RMWS	22616.50900	0.78968	0.65000	-0.08067	0.64898
8	0.3	ROSA	43587.20000	0.69430	0.75000	-0.04708	0.33179
8	0.3	NOSF	20422.48260	0.78786	0.51000	0.02188	0.21910
8	0.3	RMWS	15661.69220	0.82157	0.78000	-0.15709	0.47558
9	0.3	ROSA	57177.60000	0.59614	0.70000	-0.03589	0.39240
9	0.3	NOSF	19007.10080	0.83548	0.57000	0.00233	0.15752
9	0.3	RMWS	16988.25880	0.84318	0.80000	-0.12974	0.43799
Average:	0.3	ROSA	48857.08000	0.64627	0.70500	-0.02431	0.41369
Average:	0.3	NOSF	25435.20802	0.75616	0.52900	0.00549	0.27253
Average:	0.3	RMWS	18631.37452	0.77160	0.72500	-0.12673	0.56997
0	0.35	ROSA	70522.40000	0.74485	0.69000	-0.00910	0.50144
0	0.35	NOSF	42316.00380	0.83484	0.49000	0.03261	0.25251
0	0.35	RMWS	32283.48200	0.86134	0.64000	-0.06563	0.63811
1	0.35	ROSA	54153.60000	0.58359	0.61000	0.00504	0.50878
1	0.35	NOSF	37453.65920	0.69242	0.54000	0.01557	0.23972
1	0.35	RMWS	19910.77000	0.76575	0.65000	-0.11316	0.57712
2	0.35	ROSA	48822.40000	0.77608	0.79000	-0.01210	0.28290
2	0.35	NOSF	27823.27360	0.82976	0.52000	0.01253	0.17480
2	0.35	RMWS	18454.29420	0.85610	0.69000	-0.07458	0.32361
3	0.35	ROSA	54423.20000	0.75674	0.66000	-0.01825	0.44953
3	0.35	NOSF	46245.01580	0.74225	0.53000	0.01951	0.29672
3	0.35	RMWS	25322.53660	0.81797	0.62000	-0.08104	0.47242
4	0.35	ROSA	49484.40000	0.68231	0.67000	0.00452	0.39343
4	0.35	NOSF	27205.09620	0.80341	0.60000	-0.01691	0.21379
4	0.35	RMWS	19727.15480	0.79820	0.61000	-0.06205	0.38272
5	0.35	ROSA	59409.60000	0.69236	0.59000	0.04093	0.51468
5	0.35	NOSF	38688.91600	0.78743	0.52000	-0.02534	0.32517
5	0.35	RMWS	27987.86360	0.79990	0.67000	-0.08893	0.60079
6	0.35	ROSA	52595.20000	0.75957	0.68000	0.00548	0.38614
6	0.35	NOSF	33932.85600	0.80407	0.58000	0.00129	0.29160
6	0.35	RMWS	17995.05100	0.82329	0.72000	-0.08607	0.55353
7	0.35	ROSA	63251.20000	0.81030	0.77000	-0.03611	0.36169
7	0.35	NOSF	51122.91940	0.83801	0.57000	-0.00941	0.18551
7	0.35	RMWS	24238.29200	0.90797	0.59000	-0.05386	0.49339
8	0.35	ROSA	60558.80000	0.72235	0.73000	0.00472	0.43249
8	0.35	NOSF	36680.86600	0.81713	0.49000	0.02244	0.23009
8	0.35	RMWS	23955.46060	0.86444	0.65000	-0.06052	0.51906
9	0.35	ROSA	55577.60000	0.65690	0.74000	-0.03860	0.51478
9	0.35	NOSF	25507.07380	0.79852	0.50000	0.00765	0.24849
9	0.35	RMWS	21657.33520	0.79231	0.64000	-0.06909	0.54442
Average:	0.35	ROSA	56879.84000	0.71851	0.69300	-0.00535	0.43459
Average:	0.35	NOSF	36697.56798	0.79478	0.53400	0.00600	0.24584
Average:	0.35	RMWS	23153.22400	0.82873	0.64800	-0.07549	0.51052
0	0.39999999999999997	ROSA	50382.40000	0.86927	0.80000	-0.03974	0.24312
0	0.39999999999999997	NOSF	34403.07700	0.83298	0.45000	0.05489	0.21153
0	0.39999999999999997	RMWS	21847.31820	0.88004	0.59000	-0.06144	0.50320
1	0.39999999999999997	ROSA	63208.40000	0.74328	0.65000	0.00389	0.47198
1	0.39999999999999997	NOSF	32741.65080	0.82921	0.46000	0.03469	0.26088
1	0.39999999999999997	RMWS	24709.22700	0.84493	0.64000	-0.07634	0.61064
2	0.39999999999999997	ROSA	48902.40000	0.73453	0.70000	-0.03330	0.32748
2	0.39999999999999997	NOSF	34802.74200	0.76690	0.47000	0.05374	0.20830
2	0.39999999999999997	RMWS	21819.72900	0.83654	0.64000	-0.08230	0.50493
3	0.39999999999999997	ROSA	59185.20000	0.62649	0.64000	-0.02076	0.53974
